Metabolite	KEGG	GWEIGHT	GLU 0.058	GLU 0.108	GLU 0.161	GLU 0.238	GLU 0.311	NH4 0.055	NH4 0.105	NH4 0.173	NH4 0.21	NH4 0.29	PO4 0.056	PO4 0.113	PO4 0.16	PO4 0.223	PO4 0.3	LEU 0.058	LEU 0.11	LEU 0.16	LEU 0.22	LEU 0.286	URA 0.056	URA 0.11	URA 0.15	URA 0.22	URA 0.31
orotidine-phosphate	C01103	1	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	-1.736654516	6.425510985	6.661392671	7.187945181	7.344446497	7.113794992
argininosuccinate	C03406	1	-0.478710679	-0.062941382	-0.119374814	0.373928736	-0.478710679	-1.919383022	-0.478710679	-0.542123844	-0.067041938	-0.382658036	-1.678656863	-1.089212977	-0.236444483	-0.219012606	0.95582045	1.960775603	1.4272802	1.443281979	1.928099042	1.780553114	-1.667142271	-0.642149412	0.051163067	0.080162929	0.061208565
carbamoyl phosphate	C00169	1	0.321597084	-0.050382375	-0.050382375	-0.050382375	0.102710898	-0.050382375	-0.050382375	-0.050382375	-0.050382375	0.19381605	-0.050382375	-0.050382375	-0.050382375	-0.050382375	-0.050382375	-0.050382375	-0.050382375	-0.050382375	-0.050382375	-0.050382375	-0.050382375	-0.050382375	0.250771869	0.138751603	-0.050382375
CDP	C00112	1	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	0.261638415	-0.041630267	0.605610897	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	-0.041630267	0.048616555	-0.041630267
dGDP	C00361	1	1.072295242	0.660475885	0.013897309	-0.113062318	0.234501048	-0.0782622	-0.657991897	0.492815836	0.86698331	0.376483789	0.150663799	-1.593040917	-0.716714893	-0.363649388	0.246105249	-0.401683295	-0.506635319	-0.302430056	-0.096786939	-0.145076318	0.227009985	0.061262695	0.600277074	-0.324427736	0.296990053
dimethylglycine	C01026	1	-1.781133463	-1.554396542	-2.109306343	-0.676294508	-2.885550371	-0.673025152	-1.990478053	-0.191386146	0.447276497	0.841182848	-0.031162225	2.317852268	1.185876369	1.01597815	0.481368028	2.081204684	0.871404558	0.008713033	-0.178129315	-2.410025621	1.583321004	1.236761356	1.156808505	0.835579035	0.417561405
homoserine	C00263	1	-0.221478014	-0.221478014	-0.221478014	-0.131081929	-0.221478014	-1.79195963	-0.221478014	-0.209429494	0.214868811	0.188946682	-0.221478014	0.105153067	0.349398611	0.183358092	-0.17415267	0.682191479	0.927274056	1.185703313	0.799839008	-0.000467082	-0.597078628	0.111482416	-0.064389763	0.356232446	-0.8070207
hydroxyphenylpyruvate	C01179	1	-0.679065228	-0.679065228	-0.679065228	-0.679065228	-0.679065228	3.371852785	-0.521044871	1.696867124	1.60756268	0.985099261	0.87393768	-0.679065228	-0.679065228	-0.679065228	-0.679065228	1.784452664	0.942040439	-0.661989678	-0.679065228	-0.679065228	0.214437543	-0.679065228	-0.714810966	-0.714810966	-0.714810966
lactate	C00186/C00256	1	-0.759238074	-0.766390699	-0.740501674	-1.872134399	1.241659136	0.136770567	0.500355368	0.114413731	0.434911583	1.149296649	-0.474497514	-1.051831812	-0.932107398	-0.734677657	-0.261995913	0.253700547	0.44609825	0.501602225	0.549490101	0.575238051	0.227389705	0.361437724	0.258714529	0.437917272	0.404379699
N-acetyl-glutamate	C00624	1	1.258575236	1.628266683	2.08005123	1.652389266	2.323295816	-1.388824929	-1.766411508	-1.579471677	-1.517370305	-1.617138972	0.093820199	2.514032685	2.334115404	1.612347517	0.571681283	-0.489838873	-0.4769439	0.130071402	1.018665462	1.053173611	-2.379482217	-2.900752741	-2.942742466	-1.836969747	0.625461541
prephenate	C00254	1	-0.91514882	-0.91514882	-0.699237292	-0.361048529	-0.91514882	-0.279301624	-0.91514882	-0.279301624	-0.279301624	-0.279301624	-0.279301624	-0.279301624	-0.279301624	-0.279301624	-0.279301624	2.051121597	2.572827531	1.59579367	1.28996866	1.121392384	-0.279301624	-0.279301624	-0.279301624	-0.279301624	-0.279301624
PRPP	C00119	1	1.758531256	2.616293426	0.920456766	1.373001602	1.162035732	0.299738085	2.163497938	0.866255725	-0.197150562	-0.809715942	-2.422387878	-3.325100007	-3.01857771	-2.818961628	-2.215632588	0.098906682	0.56346713	1.245495852	0.514278862	1.75065199	-0.817416198	-0.357750462	0.052448163	0.322011163	0.275622603
